date,open,high,low,close,volume
2000/01/13,84.50,87.50,84.50,87.50,51444
2000/01/14,89.00,90.50,88.00,89.00,63900
2000/01/15,91.00,91.00,88.00,88.50,25677
2000/01/17,89.50,91.50,89.00,90.00,22129
2000/01/18,90.50,90.50,87.50,88.50,12409
2000/01/19,88.00,88.50,86.00,86.00,12034
2000/01/20,86.00,87.50,85.00,87.50,12390
2000/01/21,88.50,91.00,87.50,91.00,20388
2000/01/24,91.00,92.50,91.00,91.00,24302
2000/01/25,91.00,91.00,89.00,89.00,11267
2000/01/26,89.00,90.50,89.00,89.00,16322
2000/01/27,90.00,91.50,89.50,90.00,19802
2000/01/28,92.00,96.00,92.00,95.50,42934
2000/01/29,95.00,95.50,92.50,93.00,15285
2000/01/31,93.00,94.50,93.00,93.50,12195
2000/02/01,95.00,96.50,94.50,95.00,22052
2000/02/09,97.00,97.00,94.00,94.50,17896
2000/02/10,94.50,97.00,94.50,94.50,15039
2000/02/11,95.00,95.50,93.00,93.00,13656
2000/02/14,93.00,93.00,90.50,91.00,12387
2000/02/15,91.00,91.00,89.00,89.50,8832
2000/02/16,90.00,91.00,89.50,90.00,5705
2000/02/17,90.00,93.00,90.00,91.00,14684
2000/02/18,92.50,93.00,90.00,90.00,10822
2000/02/19,90.00,91.00,89.00,90.00,7006
2000/02/21,90.00,92.00,90.00,90.00,12828
2000/02/22,90.00,90.50,87.00,88.00,9024
2000/02/23,88.00,90.00,87.50,88.00,7337
2000/02/24,88.50,89.00,87.00,87.00,6918
2000/02/25,87.00,87.50,85.00,85.00,10804
2000/02/29,85.50,87.00,85.00,85.00,4526
2000/03/01,86.50,87.00,85.50,87.00,4877
2000/03/02,87.00,87.50,85.50,85.50,3881
2000/03/03,85.50,86.50,85.00,85.50,4578
2000/03/04,86.00,86.00,84.00,84.00,4432
2000/03/06,84.00,84.50,83.00,83.00,6056
2000/03/07,83.00,84.50,82.00,83.00,9085
2000/03/08,82.50,83.50,82.00,83.00,6480
2000/03/09,83.00,83.50,82.50,82.50,7118
2000/03/10,83.00,84.00,82.50,82.50,7411
2000/03/13,82.00,82.00,77.00,77.00,11815
2000/03/14,77.00,79.00,75.00,77.00,8067
2000/03/15,77.00,78.00,76.00,76.00,6900
2000/03/16,72.00,77.00,72.00,76.00,9904
2000/03/17,76.00,80.00,76.00,77.00,18820
2000/03/20,74.50,74.50,74.50,74.50,1117
2000/03/21,72.00,78.00,72.00,78.00,13890
2000/03/22,77.50,78.00,75.50,75.50,7649
2000/03/23,75.50,79.00,75.50,78.50,12209
2000/03/24,78.50,78.50,76.00,76.50,6892
2000/03/27,76.00,79.50,75.50,79.00,11343
2000/03/28,80.00,81.50,78.00,79.00,13627
2000/03/29,79.00,80.50,78.00,78.00,6881
2000/03/30,79.00,80.50,78.50,79.00,10241
2000/03/31,82.00,84.50,82.00,84.00,28409
2000/04/01,84.00,84.00,82.00,82.50,11355
2000/04/05,84.00,86.00,83.00,85.00,16655
2000/04/06,86.00,86.50,83.50,83.50,10790
2000/04/07,84.00,84.50,81.50,81.50,7180
2000/04/08,81.50,81.50,80.00,80.00,5714
2000/04/10,80.00,82.00,80.00,81.00,6223
2000/04/11,81.00,82.50,81.00,81.50,5384
2000/04/12,83.00,84.00,81.00,81.50,10675
2000/04/13,81.50,83.00,81.00,82.50,10223
2000/04/14,84.00,85.50,82.50,83.00,18209
